,failed_call_count,submitted_complaint,months_as_customer,billing_level,call_count,sms_count,plan_type,account_status,age,customer_value,has_churned
212,24,0,34,2,223,44,1,1,30,787.32,0
213,3,0,34,0,25,473,1,1,30,2013.6,0
214,8,0,33,0,180,140,1,1,25,1331.325,0
215,2,0,33,0,84,176,1,1,30,964.16,0
216,0,0,33,0,12,0,1,2,25,36.315,0
217,1,0,34,0,12,3,1,2,25,42.39,0
218,0,0,33,0,0,0,1,2,25,0.0,1
219,2,0,33,0,125,374,1,1,25,2022.885,0
220,6,0,33,0,152,1,1,1,30,465.48,0
221,7,0,33,0,73,98,1,1,25,742.995,0
222,22,0,29,0,45,6,1,2,25,68.4,1
223,20,0,32,7,91,0,1,1,45,261.15,0
224,12,1,32,0,96,16,1,1,25,334.53,1
225,0,0,30,0,20,0,1,1,30,111.2,0
226,8,1,31,0,39,0,1,2,30,117.96,1
227,8,0,32,0,42,24,1,2,30,185.2,1
228,0,1,32,0,0,0,1,2,30,0.0,1
229,0,0,32,0,23,0,1,1,30,64.44,0
230,2,0,29,0,95,4,1,1,45,180.0,0
231,0,0,32,0,0,0,1,2,45,0.0,1
232,0,0,32,0,0,0,1,1,55,0.0,0
233,24,0,27,2,236,0,1,1,25,730.395,0
234,5,0,30,2,114,261,2,1,25,1489.455,0
235,1,0,32,0,80,0,1,1,25,167.31,0
236,2,0,31,0,42,28,1,2,30,177.08,0
237,5,0,32,0,51,165,1,1,25,866.295,0
238,3,0,23,0,34,183,2,1,25,880.605,0
239,3,0,22,0,37,20,1,1,45,88.125,0
240,10,0,23,0,23,0,1,2,25,28.935,0
241,0,0,22,0,0,11,1,2,45,27.5,0
242,9,0,21,0,30,9,1,1,25,93.375,0
243,1,0,21,0,59,0,1,1,30,128.16,0
244,1,0,14,0,24,18,1,1,25,154.755,0
245,15,0,13,0,139,75,2,1,15,767.36,0
246,11,0,11,0,169,63,1,1,45,383.05,0
247,7,0,12,2,43,21,1,1,30,196.64,0
248,1,0,5,0,38,205,1,1,30,993.92,0
249,2,0,5,0,17,0,1,1,30,57.0,1
250,13,0,44,1,81,20,1,1,30,268.44,0
251,5,0,45,0,15,22,1,2,30,111.72,0
252,15,0,43,1,70,374,1,1,30,1607.32,0
253,15,0,44,1,76,16,1,1,15,337.37,0
254,8,0,44,1,68,17,1,1,25,198.945,0
255,16,0,44,2,92,47,1,1,30,353.08,0
256,9,0,44,1,49,300,1,1,30,1306.76,0
257,18,0,43,3,131,159,1,1,30,1016.24,0
258,12,0,44,1,179,15,1,1,30,628.48,0
259,12,0,44,2,93,17,1,1,30,262.72,0
260,11,0,44,1,105,22,1,1,30,339.32,0
261,14,1,44,0,64,23,1,2,30,194.48,0
262,30,0,44,4,235,69,1,1,30,901.4,0
263,9,0,44,2,37,498,1,1,30,2127.68,0
264,14,0,43,1,192,165,1,1,25,1459.665,0
265,8,0,43,2,96,201,1,1,30,1078.24,0
266,5,0,43,0,24,15,1,2,25,119.655,0
267,7,0,44,0,24,28,1,2,30,151.76,0
268,5,0,43,0,10,15,1,2,25,79.65,1
269,8,0,43,1,137,399,1,1,30,1912.2,0
270,12,0,43,2,164,26,1,1,45,362.225,0
271,13,0,43,2,85,123,1,1,25,871.335,0
272,28,1,39,0,57,31,1,2,30,174.88,1
273,26,0,42,9,103,16,2,1,55,185.97,0
274,18,0,42,2,108,41,1,1,25,462.87,0
275,6,0,40,1,32,15,1,1,30,185.28,0
276,14,1,41,0,51,24,1,2,30,228.04,1
277,14,1,42,0,54,49,1,2,45,187.05,1
278,5,0,42,0,12,15,1,2,30,76.2,1
279,6,0,42,1,35,15,1,1,45,86.575,0
280,8,0,39,2,107,29,1,1,55,150.78,0
281,5,0,42,0,17,24,1,2,45,82.625,1
282,5,0,42,2,14,19,1,1,55,37.68,0
283,30,1,37,4,248,15,1,1,25,813.735,0
284,11,1,40,4,126,286,2,1,30,1438.04,0
285,7,0,42,1,92,17,1,1,30,230.8,0
286,8,0,41,0,54,53,1,2,30,291.16,0
287,11,0,42,1,63,190,1,1,25,994.635,0
288,9,0,33,2,46,208,2,1,30,896.84,0
289,9,0,32,1,49,45,1,1,55,95.655,0
290,16,0,33,0,35,25,1,2,30,139.8,0
291,5,0,32,0,20,36,1,2,45,117.625,0
292,15,0,31,1,42,34,1,1,25,221.715,0
293,7,0,31,1,71,23,1,1,30,234.24,0
294,7,0,24,1,36,43,1,1,30,251.64,0
295,21,0,23,2,151,100,2,1,25,756.18,0
296,17,0,21,1,181,88,1,1,55,272.61,0
297,13,0,22,4,55,46,1,1,30,310.72,0
298,7,0,15,2,50,230,1,1,30,1108.0,0
299,8,1,15,2,29,15,1,1,30,131.08,1
300,3,0,32,0,61,0,1,1,25,187.695,0
301,0,0,33,0,0,0,1,2,25,0.0,0
302,5,0,31,0,50,344,1,1,25,1648.935,0
303,5,0,32,0,56,0,1,1,15,219.67,0
304,0,0,32,0,48,0,1,1,15,119.955,0
305,6,0,32,0,72,17,1,1,25,237.915,0
306,0,0,32,0,29,270,1,1,30,1165.16,0
307,8,0,31,1,111,129,1,1,30,874.64,0
308,2,0,32,0,159,0,1,1,30,546.88,0
309,2,0,32,0,73,0,1,1,30,173.12,0
310,1,0,32,0,85,0,1,1,25,258.435,0
311,4,0,32,0,44,0,1,2,30,80.88,0
312,20,0,32,2,215,39,1,1,30,759.8,0
313,0,0,32,0,17,468,1,1,30,1986.08,0
314,4,0,31,0,172,135,1,1,25,1300.365,0
315,0,0,31,0,76,171,1,1,30,936.64,0
316,0,0,31,0,4,0,1,2,25,27.855,0
317,0,0,32,0,4,0,1,2,25,20.43,0
318,0,0,31,0,0,0,1,2,25,0.0,1
319,0,0,31,0,117,369,1,1,25,1991.925,0
320,2,0,31,0,144,0,1,1,30,453.96,0
321,3,0,31,0,65,93,1,1,25,712.035,0
322,18,1,27,0,37,1,1,2,25,37.44,1
323,16,0,30,7,83,0,1,1,45,256.45,0
324,8,1,30,0,88,11,1,1,25,303.57,1
325,0,0,28,0,12,0,1,1,30,103.68,0
326,4,0,29,0,31,0,1,2,25,124.245,1
327,4,1,30,0,34,19,1,2,30,157.68,1
328,0,0,30,0,0,0,1,2,30,0.0,1
329,0,0,30,0,0,0,1,1,30,0.0,0
330,0,0,27,0,87,0,1,1,45,165.3,0
331,0,1,30,0,0,0,1,2,45,0.0,1
332,0,1,30,0,0,0,1,1,55,0.0,1
333,20,0,25,2,228,0,1,1,25,721.935,0
334,1,0,28,2,106,256,2,1,25,1458.495,0
335,0,0,30,0,72,0,1,1,25,158.85,0
336,0,0,29,0,34,23,1,2,30,149.56,0
337,1,0,30,0,43,160,1,1,25,835.335,0
338,0,0,21,0,26,178,2,1,25,849.645,0
339,0,0,20,0,29,15,1,1,45,70.925,0
340,6,0,21,0,15,0,1,2,25,20.475,0
341,0,0,20,0,0,6,1,2,45,15.0,0
342,5,0,19,0,22,4,1,1,25,62.415,0
343,0,0,19,0,51,0,1,1,30,120.64,0
344,0,0,12,0,16,13,1,1,25,123.795,0
345,11,0,11,0,131,70,2,1,15,729.52,0
346,7,0,9,0,161,58,1,1,45,365.85,0
347,3,0,10,2,35,16,1,1,30,169.12,0
348,0,0,3,0,30,200,1,1,30,966.4,0
349,0,1,3,0,9,0,1,1,25,55.665,1
350,10,0,41,0,79,16,1,1,30,249.16,0
351,2,0,42,0,13,18,1,2,25,103.995,0
352,12,0,40,0,68,370,1,1,30,1588.04,0
353,12,0,41,0,74,12,1,1,15,310.86,0
354,5,0,41,0,66,13,1,1,15,216.645,0
355,13,0,41,1,90,43,1,1,30,333.8,0
356,6,0,41,0,47,296,1,1,30,1287.48,0
357,15,0,40,2,129,155,1,1,30,996.96,0
358,9,0,41,0,177,11,1,1,30,609.2,0
359,9,0,41,1,91,13,1,1,30,243.44,0
360,8,0,41,0,103,18,1,1,30,320.04,0
361,11,0,41,0,62,19,1,2,30,175.2,0
362,27,0,41,3,233,65,1,1,30,882.12,0
363,6,0,41,1,35,494,1,1,30,2108.4,0
364,11,0,40,0,190,161,1,1,25,1437.975,0
365,5,0,40,1,94,197,1,1,30,1058.96,0
366,2,0,40,0,22,11,1,2,25,97.965,0
367,4,0,41,0,22,24,1,2,30,132.48,0
368,2,0,40,0,8,11,1,2,25,57.96,1
369,5,0,40,0,135,395,1,1,25,2129.535,0
370,9,0,40,1,162,22,1,1,45,350.175,0
371,10,0,40,1,83,119,1,1,25,849.645,0
372,25,1,36,0,55,27,1,2,25,175.05,1
373,23,0,39,8,101,12,1,1,55,178.74,0
374,15,0,39,1,106,37,1,1,25,441.18,0
375,3,0,37,0,30,11,1,1,30,166.0,0
376,11,1,38,0,49,20,1,2,30,208.76,1
377,11,1,39,0,52,45,1,2,30,280.0,1
378,2,1,39,0,10,11,1,2,30,56.92,1
379,3,0,39,0,33,11,1,1,30,119.24,0
380,5,0,36,1,105,25,1,1,55,143.55,0
381,2,0,39,0,15,20,1,2,45,70.575,1
382,2,0,39,1,12,15,1,1,55,30.45,0
383,27,1,34,3,246,11,1,1,25,792.045,0
384,8,0,37,3,124,282,2,1,25,1596.105,0
385,4,0,39,0,90,13,1,1,25,237.96,0
386,5,0,38,0,52,49,1,2,30,271.88,0
387,8,0,39,0,61,186,1,1,25,972.945,0
388,6,1,30,1,44,204,2,1,25,987.255,1
389,6,0,29,0,47,41,1,1,45,147.375,0
390,13,0,30,0,33,21,1,2,25,135.585,0
391,2,0,29,0,18,32,1,2,45,105.575,0
392,12,0,28,0,40,30,1,1,25,200.025,0
393,4,0,28,0,69,19,1,1,30,214.96,0
394,4,0,21,0,34,39,1,1,25,261.405,0
395,18,0,20,1,149,96,2,1,25,734.49,0
396,14,0,18,0,179,84,1,1,45,442.3,0
397,10,0,19,3,53,42,1,1,30,291.44,0
398,4,0,12,1,48,226,1,1,30,1088.72,0
399,5,0,12,1,27,11,1,1,30,111.8,1
400,6,0,35,0,63,0,1,1,30,170.12,0
401,0,0,36,0,0,0,1,2,25,0.0,0
402,8,0,34,0,52,348,1,1,30,1485.0,0
403,8,0,35,0,58,0,1,1,15,224.18,0
404,1,0,35,0,50,0,1,1,15,124.465,0
405,9,0,35,1,74,21,1,1,30,230.76,0
406,2,0,35,0,31,274,1,1,30,1184.44,0
407,11,0,34,2,113,133,1,1,30,893.92,0
408,5,0,35,0,161,0,1,1,30,550.16,0
409,5,0,35,1,75,0,1,1,30,176.4,0
410,4,0,35,0,87,0,1,1,30,233.0,0
411,7,0,35,0,46,0,1,2,30,84.16,0
412,23,0,35,3,217,43,1,1,30,779.08,0
413,2,0,35,1,19,472,1,1,30,2005.36,0
414,7,0,34,0,174,139,1,1,25,1322.055,0
415,1,0,34,1,78,175,1,1,30,955.92,0
416,0,0,34,0,6,0,1,2,25,31.545,0
417,0,0,35,0,6,2,1,2,30,29.44,0
418,0,1,34,0,0,0,1,2,25,0.0,1
419,1,0,34,0,119,373,1,1,25,2013.615,0
420,5,0,34,1,146,0,1,1,45,285.775,0
421,6,0,34,1,67,97,1,1,25,733.725,0
422,21,1,30,0,39,5,1,2,25,59.13,1
423,19,0,33,8,85,0,1,1,55,155.1,0
424,11,1,33,1,90,15,1,1,25,325.26,1
425,0,0,31,0,14,0,1,1,30,106.96,0
426,7,0,32,0,33,0,1,2,30,113.72,1
427,7,1,33,0,36,23,1,2,30,176.96,1
428,0,0,33,0,0,0,1,2,30,0.0,1
429,0,0,33,0,17,0,1,1,30,60.2,0
430,1,0,30,1,89,3,1,1,55,104.91,0
431,0,0,33,0,0,0,1,2,45,0.0,1
432,0,0,33,0,0,0,1,1,55,0.0,0
433,23,0,28,3,230,0,1,1,25,725.625,0
434,4,0,31,3,108,260,2,1,25,1480.185,0
435,0,0,33,0,74,0,1,1,25,162.54,0
436,1,0,32,0,36,27,1,2,30,168.84,0
437,4,0,33,0,45,164,1,1,25,857.025,0
438,2,0,24,1,28,182,2,1,25,871.335,0
439,2,0,23,0,31,19,1,1,45,82.975,0
440,9,0,24,0,17,0,1,2,25,24.165,0
441,0,0,23,0,0,10,1,2,45,25.0,0
442,8,0,22,0,24,8,1,1,25,84.105,0
443,0,0,22,0,53,0,1,1,30,123.92,0
444,0,0,15,0,18,17,1,1,25,145.485,0
445,14,0,14,1,133,74,2,1,25,618.57,0
446,10,0,12,0,163,62,1,1,45,377.9,0
447,6,0,13,3,37,20,1,1,30,188.4,0
448,0,0,6,1,32,204,1,1,30,985.68,0
449,1,0,6,1,11,0,1,1,30,52.76,1
450,12,0,38,2,81,26,1,1,30,306.04,0
451,4,0,39,0,15,28,1,2,30,149.32,0
452,14,0,37,2,70,380,1,1,30,1644.92,0
453,14,0,38,2,76,22,1,1,15,389.07,0
454,7,0,38,2,68,23,1,1,25,241.245,0
455,15,0,38,3,92,53,1,1,30,390.68,0
456,8,0,38,2,49,306,1,1,30,1344.36,0
457,17,0,37,4,131,165,2,1,30,1053.84,0
458,11,0,38,2,179,21,1,1,30,666.08,0
459,11,0,38,3,93,23,1,1,30,300.32,0
460,10,0,38,2,105,28,1,1,30,376.92,0
461,13,0,38,0,64,29,1,2,30,232.08,0
462,29,0,38,5,235,75,1,1,30,939.0,0
463,8,0,38,3,37,504,1,1,30,2165.28,0
464,13,0,37,2,192,171,1,1,25,1501.965,0
465,7,0,37,3,96,207,1,1,30,1115.84,0
466,4,0,37,0,24,21,1,2,25,161.955,0
467,6,0,38,0,24,34,1,2,30,189.36,0
468,4,0,37,0,10,21,1,2,25,121.95,1
469,7,0,37,2,137,405,1,1,30,1949.8,0
470,11,0,37,3,164,32,1,1,45,385.725,0
471,12,0,37,3,85,129,1,1,25,913.635,0
472,27,1,33,0,57,37,1,2,30,212.48,1
473,25,0,36,10,103,22,2,1,55,200.07,0
474,17,0,36,3,108,47,1,1,25,505.17,0
475,5,0,34,2,32,21,1,1,30,222.88,0
476,13,1,35,0,51,30,1,2,30,265.64,1
477,13,1,36,0,54,55,1,2,30,336.88,1
478,4,0,36,0,12,21,1,2,30,113.8,1
479,5,0,36,2,35,21,1,1,45,110.075,0
480,7,0,33,3,107,35,1,1,55,164.88,0
481,4,0,36,0,17,30,1,2,45,106.125,1
482,4,0,36,3,14,25,1,1,55,51.78,0
483,29,0,31,5,248,21,1,1,25,856.035,0
484,10,0,34,5,126,292,2,1,25,1660.095,0
485,6,0,36,2,92,23,1,1,30,268.4,0
486,7,1,35,0,54,59,1,2,30,328.76,1
487,10,0,36,2,63,196,1,1,25,1036.935,0
488,8,0,27,3,46,214,2,1,25,1051.245,0
489,8,0,26,2,49,51,1,1,45,182.925,0
490,15,0,27,0,35,31,1,2,30,177.4,0
491,4,0,26,0,20,42,1,2,45,141.125,0
492,14,0,25,2,42,40,1,1,25,264.015,0
493,6,0,25,2,71,29,1,1,30,271.84,0
494,6,0,18,2,36,49,1,1,25,325.395,0
495,20,0,17,3,151,106,2,1,25,798.48,0
496,16,0,15,2,181,94,1,1,55,286.71,0
497,12,0,16,5,55,52,1,1,30,348.32,0
498,6,0,9,3,50,236,1,1,30,1145.6,0
499,7,1,9,3,29,21,1,1,30,168.68,1
500,4,0,38,0,61,0,1,1,25,172.395,0
501,0,0,39,0,0,0,1,2,25,0.0,0
502,6,0,37,0,50,338,1,1,25,1606.635,0
503,6,0,38,0,56,0,1,1,15,200.97,0
504,0,0,38,0,48,0,1,1,15,101.255,0
505,7,0,38,0,72,11,1,1,30,173.88,0
506,0,0,38,0,29,264,1,1,30,1127.56,0
507,9,0,37,0,111,123,1,1,30,837.04,0
508,3,0,38,0,159,0,1,1,30,533.28,0
509,3,0,38,0,73,0,1,1,30,159.52,0
510,2,0,38,0,85,0,1,1,25,243.135,0
511,5,0,38,0,44,0,1,2,30,67.28,0
512,21,0,38,1,215,33,1,1,30,722.2,0
513,0,0,38,0,17,462,1,1,30,1948.48,0
514,5,0,37,0,172,129,1,1,25,1258.065,0
515,0,0,37,0,76,165,1,1,30,899.04,0
516,0,0,37,0,4,0,1,2,25,12.555,0
517,0,0,38,0,4,0,1,2,25,5.13,0
518,0,0,37,0,0,0,1,2,25,0.0,1
519,0,0,37,0,117,363,1,1,25,1949.625,0
520,3,0,37,0,144,0,1,1,30,440.36,0
521,4,0,37,0,65,87,1,1,25,669.735,0
522,19,0,33,0,37,0,1,2,25,17.64,1
523,17,0,36,6,83,0,1,1,45,247.95,0
524,9,1,36,0,88,5,1,1,25,261.27,1
525,0,0,34,0,12,0,1,1,30,90.08,0
526,5,0,35,0,31,0,1,2,30,96.84,1
527,5,0,36,0,34,13,1,2,30,120.08,1
528,0,0,36,0,0,0,1,2,30,0.0,1
529,0,0,36,0,15,0,1,1,30,43.32,0
